px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor
7.36772	20.2999	5.08163	-2.7463	0.497655	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717	2.85785	L
7.1348	20.1992	5.08163	-2.72141	0.497655	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399	6.92448e-310	R
6.87607	20.1273	5.10984	-2.715	0.47747	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462	0.48233	L
6.64508	20.019	5.10984	-2.69113	0.47747	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357	6.92448e-310	R
6.40616	19.944	5.10321	-2.685	0.458267	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079	0.356508	L
6.17876	19.8291	5.10321	-2.66208	0.458267	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625	6.92448e-310	R
5.92311	19.7538	5.1228	-2.6625	0.432834	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993	0.670793	L
5.69741	19.6335	5.1228	-2.64086	0.432834	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178	6.92448e-310	R
5.53884	19.5265	5.00692	-2.61518	0.437701	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418	1.60918	L
5.32407	19.3986	5.00692	-2.5933	0.437701	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995	6.92448e-310	R
5.1257	19.3246	4.93972	-2.59181	0.415755	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622	1.00312	L
4.91674	19.1936	4.93972	-2.57103	0.415755	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059	6.92448e-310	R
4.76804	19.0277	4.87688	-2.52682	0.441534	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305	1.14731	L
4.57068	18.8851	4.87688	-2.50475	0.441534	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359	6.92448e-310	R
4.40255	18.7682	4.81086	-2.48836	0.435639	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422	0.549457	L
4.21339	18.6202	4.81086	-2.46657	0.435639	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888	6.92448e-310	R
4.1	18.4666	4.70623	-2.42706	0.455525	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362	1.70856	L
3.92425	18.3106	4.70623	-2.40429	0.455525	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644	6.92448e-310	R
3.66078	18.1631	4.82299	-2.40954	0.42429	3.45919	18.167	3.65611	18.0807	-3.77339	-3.33732	2.62763	L
3.48338	18.0003	4.82299	-2.38832	0.42429	4.3011	17.9267	3.46891	17.9122	-3.71795	-3.40627	6.92448e-310	R
3.25397	17.8107	4.92435	-2.37407	0.416125	3.12525	17.7493	3.28449	17.7402	-3.66215	-3.47331	1.28448	L
3.07882	17.6382	4.92435	-2.35327	0.416125	2.65664	17.888	3.10287	17.565	-3.60609	-3.53844	6.92448e-310	R
2.90947	17.5769	4.79168	-2.37159	0.374157	2.9449	17.8154	2.92405	17.3866	-3.54982	-3.60167	3.80435	L
2.73928	17.4087	4.79168	-2.35288	0.374157	3.26647	17.0897	2.74805	17.2051	-3.49344	-3.66302	6.92448e-310	R
